Date : 2023-04-24 13:50:47
Directory : /home/venice/Projects/capstone/cmu-kiosk-app
Total : 101 files,  11932 codes, 260 comments, 1050 blanks, all 13242 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Svelte             |         51 |      6,428 |         92 |        356 |      6,876 |
| YAML               |          1 |      2,923 |          0 |        456 |      3,379 |
| XML                |          4 |        877 |          0 |          0 |        877 |
| JSON               |          5 |        747 |          0 |          5 |        752 |
| TypeScript         |         30 |        703 |        140 |        191 |      1,034 |
| PostCSS            |          2 |        131 |         11 |         10 |        152 |
| JavaScript         |          4 |         62 |         12 |         13 |         87 |
| Markdown           |          1 |         24 |          0 |         15 |         39 |
| JSON with Comments |          1 |         14 |          4 |          1 |         19 |
| HTML               |          1 |         12 |          0 |          1 |         13 |
| Ignore             |          1 |         11 |          1 |          2 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        101 |     11,932 |        260 |      1,050 |     13,242 |
| . (Files)                                                                                                                                                     |         12 |      3,127 |         17 |        494 |      3,638 |
| src                                                                                                                                                           |         83 |      7,269 |        243 |        551 |      8,063 |
| src (Files)                                                                                                                                                   |          5 |        183 |         27 |         22 |        232 |
| src/lib                                                                                                                                                       |         34 |      1,172 |         40 |        189 |      1,401 |
| src/lib/components                                                                                                                                            |         25 |        995 |         29 |        161 |      1,185 |
| src/lib/components/account                                                                                                                                    |          1 |         61 |          0 |         12 |         73 |
| src/lib/components/button                                                                                                                                     |          1 |         34 |          1 |          3 |         38 |
| src/lib/components/callout                                                                                                                                    |          1 |         45 |          0 |          4 |         49 |
| src/lib/components/card-button                                                                                                                                |          1 |         35 |          7 |          5 |         47 |
| src/lib/components/clock                                                                                                                                      |          1 |        101 |          0 |         12 |        113 |
| src/lib/components/infinite-scroll                                                                                                                            |          1 |          5 |          0 |          3 |          8 |
| src/lib/components/input                                                                                                                                      |          4 |        171 |          9 |         28 |        208 |
| src/lib/components/keyboard-component                                                                                                                         |          3 |         98 |          8 |         17 |        123 |
| src/lib/components/logo                                                                                                                                       |          1 |         44 |          0 |          3 |         47 |
| src/lib/components/multi-step                                                                                                                                 |          7 |        236 |          3 |         49 |        288 |
| src/lib/components/search                                                                                                                                     |          1 |         15 |          1 |          3 |         19 |
| src/lib/components/svg-path-pencil                                                                                                                            |          2 |        123 |          0 |         17 |        140 |
| src/lib/components/theme-switcher                                                                                                                             |          1 |         27 |          0 |          5 |         32 |
| src/lib/helpers                                                                                                                                               |          1 |         14 |          6 |          4 |         24 |
| src/lib/images                                                                                                                                                |          2 |         17 |          0 |          0 |         17 |
| src/lib/layouts                                                                                                                                               |          5 |        143 |          5 |         22 |        170 |
| src/lib/layouts/header                                                                                                                                        |          1 |         12 |          0 |          3 |         15 |
| src/lib/layouts/page-layout                                                                                                                                   |          1 |         62 |          5 |          9 |         76 |
| src/lib/layouts/sidebar                                                                                                                                       |          3 |         69 |          0 |         10 |         79 |
| src/lib/utils                                                                                                                                                 |          1 |          3 |          0 |          2 |          5 |
| src/routes                                                                                                                                                    |         44 |      5,914 |        176 |        340 |      6,430 |
| src/routes (Files)                                                                                                                                            |          1 |         16 |          0 |          4 |         20 |
| src/routes/(admin)                                                                                                                                            |          2 |          5 |          0 |          4 |          9 |
| src/routes/(admin)/admin                                                                                                                                      |          2 |          5 |          0 |          4 |          9 |
| src/routes/(main)                                                                                                                                             |         41 |      5,893 |        176 |        332 |      6,401 |
| src/routes/(main) (Files)                                                                                                                                     |          5 |        218 |          8 |         39 |        265 |
| src/routes/(main)/additional-services                                                                                                                         |          2 |         55 |          0 |          8 |         63 |
| src/routes/(main)/additional-services (Files)                                                                                                                 |          1 |         39 |          0 |          5 |         44 |
