Date : 2023-04-24 13:50:47
Directory : /home/venice/Projects/capstone/cmu-kiosk-app
Total : 101 files,  11932 codes, 260 comments, 1050 blanks, all 13242 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/routes/(main)/additional-services/hemmingway-app                                                                                                          |          1 |         16 |          0 |          3 |         19 |
| src/routes/(main)/latest-news                                                                                                                                 |          2 |         66 |          7 |          7 |         80 |
| src/routes/(main)/profile                                                                                                                                     |          1 |         29 |          0 |          7 |         36 |
| src/routes/(main)/registrars-office                                                                                                                           |         26 |      4,336 |        137 |        231 |      4,704 |
| src/routes/(main)/registrars-office (Files)                                                                                                                   |          2 |        122 |          0 |          7 |        129 |
| src/routes/(main)/registrars-office/acknowledgement-receipt                                                                                                   |          2 |        352 |         20 |         16 |        388 |
| src/routes/(main)/registrars-office/adding-form                                                                                                               |          2 |        370 |         10 |         16 |        396 |
| src/routes/(main)/registrars-office/admission                                                                                                                 |          1 |         19 |          0 |          3 |         22 |
| src/routes/(main)/registrars-office/application-form-for-graduation                                                                                           |          2 |        368 |         15 |         16 |        399 |
| src/routes/(main)/registrars-office/application-to-shift-course                                                                                               |          2 |        767 |         15 |         56 |        838 |
| src/routes/(main)/registrars-office/completion-form                                                                                                           |          2 |        276 |          9 |         16 |        301 |
| src/routes/(main)/registrars-office/dropping-form                                                                                                             |          2 |        370 |         10 |         16 |        396 |
| src/routes/(main)/registrars-office/entrance-examination-permit                                                                                               |          2 |        409 |         10 |         16 |        435 |
| src/routes/(main)/registrars-office/forms                                                                                                                     |          1 |          7 |          1 |          3 |         11 |
| src/routes/(main)/registrars-office/leave-of-absence                                                                                                          |          2 |        276 |          9 |         16 |        301 |
| src/routes/(main)/registrars-office/request-for-transcript-of-records-or-f137-from-former-school                                                              |          2 |        292 |         11 |         16 |        319 |
| src/routes/(main)/registrars-office/request-form                                                                                                              |          2 |        411 |         16 |         16 |        443 |
| src/routes/(main)/registrars-office/requirement-to-enrolled                                                                                                   |          2 |        297 |         11 |         18 |        326 |
| src/routes/(main)/signin                                                                                                                                      |          2 |        131 |          9 |         19 |        159 |
| src/routes/(main)/student-portal                                                                                                                              |          1 |         48 |          1 |          5 |         54 |
| src/routes/(main)/wayfinder                                                                                                                                   |          2 |      1,010 |         14 |         16 |      1,040 |
| static                                                                                                                                                        |          5 |      1,531 |          0 |          3 |      1,534 |
| static (Files)                                                                                                                                                |          2 |        337 |          0 |          2 |        339 |
| static/blueprints                                                                                                                                             |          2 |        860 |          0 |          0 |        860 |
| static/keys                                                                                                                                                   |          1 |        334 |          0 |          1 |        335 |
| tests                                                                                                                                                         |          1 |          5 |          0 |          2 |          7 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/venice/Projects/capstone/cmu-kiosk-app/.eslintrc.cjs                                                                                                    | JavaScript         |         20 |          0 |          1 |         21 |
| /home/venice/Projects/capstone/cmu-kiosk-app/.prettierignore                                                                                                  | Ignore             |         11 |          1 |          2 |         14 |
| /home/venice/Projects/capstone/cmu-kiosk-app/.prettierrc                                                                                                      | JSON               |         18 |          0 |          1 |         19 |
| /home/venice/Projects/capstone/cmu-kiosk-app/README.md                                                                                                        | Markdown           |         24 |          0 |         15 |         39 |
| /home/venice/Projects/capstone/cmu-kiosk-app/package.json                                                                                                     | JSON               |         58 |          0 |          1 |         59 |
| /home/venice/Projects/capstone/cmu-kiosk-app/playwright.config.ts                                                                                             | TypeScript         |          9 |          0 |          3 |         12 |
| /home/venice/Projects/capstone/cmu-kiosk-app/pnpm-lock.yaml                                                                                                   | YAML               |      2,923 |          0 |        456 |      3,379 |
| /home/venice/Projects/capstone/cmu-kiosk-app/postcss.config.cjs                                                                                               | JavaScript         |          9 |          2 |          3 |         14 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/app.d.ts                                                                                                     | TypeScript         |         12 |          5 |          4 |         21 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/app.html                                                                                                     | HTML               |         12 |          0 |          1 |         13 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/app.postcss                                                                                                  | PostCSS            |         41 |          1 |          9 |         51 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/hooks.server.ts                                                                                              | TypeScript         |         28 |         11 |          7 |         46 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/account/Account.svelte                                                                        | Svelte             |         61 |          0 |         12 |         73 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/button/Button.svelte                                                                          | Svelte             |         34 |          1 |          3 |         38 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/callout/Callout.svelte                                                                        | Svelte             |         45 |          0 |          4 |         49 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/card-button/CardButton.svelte                                                                 | Svelte             |         35 |          7 |          5 |         47 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/clock/Clock.svelte                                                                            | Svelte             |        101 |          0 |         12 |        113 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/infinite-scroll/InfiniteScroll.svelte                                                         | Svelte             |          5 |          0 |          3 |          8 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/input/Input.svelte                                                                            | Svelte             |         31 |          0 |          7 |         38 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/input/InputNumber.svelte                                                                      | Svelte             |          5 |          0 |          3 |          8 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/input/InputText.svelte                                                                        | Svelte             |         58 |          1 |          9 |         68 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/input/InputTextArea.svelte                                                                    | Svelte             |         77 |          8 |          9 |         94 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/keyboard-component/KeyboardComponent.svelte                                                   | Svelte             |         67 |          6 |         11 |         84 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/keyboard-component/index.ts                                                                   | TypeScript         |          3 |          0 |          1 |          4 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/keyboard-component/useKeyboard.ts                                                             | TypeScript         |         28 |          2 |          5 |         35 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/logo/Logo.svelte                                                                              | Svelte             |         44 |          0 |          3 |         47 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/multi-step/MultiStep.svelte                                                                   | Svelte             |         93 |          2 |         15 |        110 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/multi-step/StepNavigation.svelte                                                              | Svelte             |         33 |          0 |          6 |         39 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/multi-step/StepPanel.svelte                                                                   | Svelte             |         19 |          0 |          8 |         27 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/multi-step/StepPanelList.svelte                                                               | Svelte             |          5 |          0 |          2 |          7 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/multi-step/StepTab.svelte                                                                     | Svelte             |         73 |          1 |         14 |         88 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/multi-step/StepTabList.svelte                                                                 | Svelte             |          7 |          0 |          3 |         10 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/multi-step/index.ts                                                                           | TypeScript         |          6 |          0 |          1 |          7 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/search/Search.svelte                                                                          | Svelte             |         15 |          1 |          3 |         19 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/svg-path-pencil/SVGPathPencil.svelte                                                          | Svelte             |        122 |          0 |         16 |        138 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/svg-path-pencil/index.ts                                                                      | TypeScript         |          1 |          0 |          1 |          2 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/theme-switcher/ThemeSwitcher.svelte                                                           | Svelte             |         27 |          0 |          5 |         32 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/helpers/context.ts                                                                                       | TypeScript         |         14 |          6 |          4 |         24 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/images/github.svg                                                                                        | XML                |         16 |          0 |          0 |         16 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/images/svelte-logo.svg                                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/header/Header.svelte                                                                             | Svelte             |         12 |          0 |          3 |         15 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/page-layout/PageLayout.svelte                                                                    | Svelte             |         62 |          5 |          9 |         76 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/sidebar/Sidebar.svelte                                                                           | Svelte             |         36 |          0 |          3 |         39 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/sidebar/SidebarItem.svelte                                                                       | Svelte             |         24 |          0 |          4 |         28 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/sidebar/SidebarNavigation.svelte                                                                 | Svelte             |          9 |          0 |          3 |         12 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/lib/utils/supabase-client.ts                                                                                 | TypeScript         |          3 |          0 |          2 |          5 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(admin)/admin/+page.server.ts                                                                         | TypeScript         |          0 |          0 |          1 |          1 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(admin)/admin/+page.svelte                                                                            | Svelte             |          5 |          0 |          3 |          8 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+layout.server.ts                                                                              | TypeScript         |         63 |          2 |         17 |         82 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+layout.svelte                                                                                 | Svelte             |        105 |          2 |         10 |        117 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+layout.ts                                                                                     | TypeScript         |         22 |          1 |          5 |         28 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+page.svelte                                                                                   | Svelte             |         28 |          0 |          6 |         34 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+page.ts                                                                                       | TypeScript         |          0 |          3 |          1 |          4 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/additional-services/+page.svelte                                                               | Svelte             |         39 |          0 |          5 |         44 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/additional-services/hemmingway-app/+page.svelte                                                | Svelte             |         16 |          0 |          3 |         19 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/latest-news/+page.server.ts                                                                    | TypeScript         |          1 |          7 |          3 |         11 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/latest-news/+page.svelte                                                                       | Svelte             |         65 |          0 |          4 |         69 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/profile/+page.svelte                                                                           | Svelte             |         29 |          0 |          7 |         36 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/+page.server.ts                                                              | TypeScript         |          1 |          0 |          1 |          2 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/+page.svelte                                                                 | Svelte             |        121 |          0 |          6 |        127 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/acknowledgement-receipt/+page.server.ts                                      | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/acknowledgement-receipt/+page.svelte                                         | Svelte             |        328 |         12 |          8 |        348 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/adding-form/+page.server.ts                                                  | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/adding-form/+page.svelte                                                     | Svelte             |        346 |          2 |          8 |        356 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/admission/+page.svelte                                                       | Svelte             |         19 |          0 |          3 |         22 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-form-for-graduation/+page.server.ts                              | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-form-for-graduation/+page.svelte                                 | Svelte             |        344 |          7 |          8 |        359 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-to-shift-course/+page.server.ts                                  | TypeScript         |        225 |         14 |         33 |        272 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-to-shift-course/+page.svelte                                     | Svelte             |        542 |          1 |         23 |        566 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/completion-form/+page.server.ts                                              | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/completion-form/+page.svelte                                                 | Svelte             |        252 |          1 |          8 |        261 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/dropping-form/+page.server.ts                                                | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/dropping-form/+page.svelte                                                   | Svelte             |        346 |          2 |          8 |        356 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/entrance-examination-permit/+page.server.ts                                  | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/entrance-examination-permit/+page.svelte                                     | Svelte             |        385 |          2 |          8 |        395 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/forms/+page.svelte                                                           | Svelte             |          7 |          1 |          3 |         11 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/leave-of-absence/+page.server.ts                                             | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/leave-of-absence/+page.svelte                                                | Svelte             |        252 |          1 |          8 |        261 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-for-transcript-of-records-or-f137-from-former-school/+page.server.ts | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-for-transcript-of-records-or-f137-from-former-school/+page.svelte    | Svelte             |        268 |          3 |          8 |        279 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-form/+page.server.ts                                                 | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-form/+page.svelte                                                    | Svelte             |        387 |          8 |          8 |        403 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/requirement-to-enrolled/+page.server.ts                                      | TypeScript         |         24 |          8 |          8 |         40 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/requirement-to-enrolled/+page.svelte                                         | Svelte             |        273 |          3 |         10 |        286 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/signin/+page.server.ts                                                                         | TypeScript         |         19 |          9 |         13 |         41 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/signin/+page.svelte                                                                            | Svelte             |        112 |          0 |          6 |        118 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/student-portal/+page.svelte                                                                    | Svelte             |         48 |          1 |          5 |         54 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/wayfinder/+page.server.ts                                                                      | TypeScript         |         15 |          0 |          5 |         20 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/wayfinder/+page.svelte                                                                         | Svelte             |        995 |         14 |         11 |      1,020 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/routes/+layout.svelte                                                                                        | Svelte             |         16 |          0 |          4 |         20 |
| /home/venice/Projects/capstone/cmu-kiosk-app/src/theme.postcss                                                                                                | PostCSS            |         90 |         10 |          1 |        101 |
| /home/venice/Projects/capstone/cmu-kiosk-app/static/blueprints/floor-1.svg                                                                                    | XML                |        384 |          0 |          0 |        384 |
| /home/venice/Projects/capstone/cmu-kiosk-app/static/blueprints/wayfinder.svg                                                                                  | XML                |        476 |          0 |          0 |        476 |
| /home/venice/Projects/capstone/cmu-kiosk-app/static/events.json                                                                                               | JSON               |         47 |          0 |          1 |         48 |
| /home/venice/Projects/capstone/cmu-kiosk-app/static/keys/english.json                                                                                         | JSON               |        334 |          0 |          1 |        335 |
| /home/venice/Projects/capstone/cmu-kiosk-app/static/weather_conditions.json                                                                                   | JSON               |        290 |          0 |          1 |        291 |
| /home/venice/Projects/capstone/cmu-kiosk-app/svelte.config.js                                                                                                 | JavaScript         |         15 |          6 |          4 |         25 |
| /home/venice/Projects/capstone/cmu-kiosk-app/tailwind.config.cjs                                                                                              | JavaScript         |         18 |          4 |          5 |         27 |
| /home/venice/Projects/capstone/cmu-kiosk-app/tests/test.ts                                                                                                    | TypeScript         |          5 |          0 |          2 |          7 |
| /home/venice/Projects/capstone/cmu-kiosk-app/tsconfig.json                                                                                                    | JSON with Comments |         14 |          4 |          1 |         19 |
| /home/venice/Projects/capstone/cmu-kiosk-app/vite.config.ts                                                                                                   | TypeScript         |          8 |          0 |          2 |         10 |
| Total                                                                                                                                                         |                    |     11,932 |        260 |      1,050 |     13,242 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
